id,height,width,all_diff,total_act,adult_males_dots,subadult_males_dots,adult_females_dots,juveniles_dots,pups_dots,                 adult_males_act,subadult_males_act,adult_females_act,juveniles_act,pups_act
455,3328,4992,0,71,3,0,49,17,2,3,0,49,17,2
456,3328,4992,0,11,3,3,5,0,0,3,3,5,0,0
457,3744,5616,0,21,2,1,5,13,0,2,1,5,13,0
458,3744,5616,0,23,1,9,7,6,0,1,9,7,6,0
459,3328,4992,0,113,15,7,58,3,30,15,7,58,3,30
460,3328,4992,1,44,1,1,22,21,0,1,1,22,20,0
461,3744,5616,0,60,1,2,17,40,0,1,2,17,40,0
462,3744,5616,2,143,15,6,59,6,59,14,6,59,6,58
463,3328,4992,0,77,6,0,57,7,7,6,0,57,7,7
464,3744,5616,0,17,0,1,0,16,0,0,1,0,16,0
465,3744,5616,1,277,10,2,94,172,0,10,2,94,171,0
466,3328,4992,0,23,3,1,9,3,7,3,1,9,3,7
467,3744,5616,2,5,1,4,0,2,0,1,4,0,0,0
468,3328,4992,0,71,8,14,39,10,0,8,14,39,10,0
470,3328,4992,0,2,0,0,1,1,0,0,0,1,1,0
471,3328,4992,0,17,4,2,7,4,0,4,2,7,4,0
472,3328,4992,0,70,6,4,45,15,0,6,4,45,15,0
473,3328,4992,3,81,2,0,19,57,0,2,0,19,60,0
474,3744,5616,0,36,1,2,7,26,0,1,2,7,26,0
476,3328,4992,5,89,9,0,46,39,0,9,0,42,38,0
477,3744,5616,0,94,9,5,50,16,14,9,5,50,16,14
478,3744,5616,1,122,8,9,49,13,44,8,9,49,12,44
479,3744,5616,1,9,5,5,0,0,0,5,4,0,0,0
480,3328,4992,0,45,3,2,30,9,1,3,2,30,9,1
481,3744,5616,0,54,3,2,4,45,0,3,2,4,45,0
482,3744,5616,1,91,7,1,44,7,33,7,1,44,6,33
483,3744,5616,2,36,1,3,3,31,0,1,2,3,30,0
484,3744,5616,0,51,6,40,0,5,0,6,40,0,5,0
485,3744,5616,0,96,10,6,45,35,0,10,6,45,35,0
486,3328,4992,0,7,3,2,0,1,1,3,2,0,1,1
487,3744,5616,1,3,3,1,0,0,0,3,0,0,0,0
488,3744,5616,0,240,6,11,145,78,0,6,11,145,78,0
489,3328,4992,0,20,2,0,2,16,0,2,0,2,16,0
491,3328,4992,4,10,0,1,9,4,0,0,0,9,1,0
492,3744,5616,2,33,2,2,9,21,1,2,1,9,20,1
493,3744,5616,0,86,0,21,0,65,0,0,21,0,65,0
494,3744,5616,0,212,24,44,72,19,53,24,44,72,19,53
495,3744,5616,3,44,5,0,20,2,20,2,0,20,2,20
496,3328,4992,0,11,0,2,5,0,4,0,2,5,0,4
497,3328,4992,0,3,1,2,0,0,0,1,2,0,0,0
498,3744,5616,1,20,0,1,1,19,0,0,1,1,18,0
500,3744,5616,4,9,4,5,0,2,0,2,6,0,1,0
501,3744,5616,0,7,2,0,2,3,0,2,0,2,3,0
502,3328,4992,0,100,6,3,59,32,0,6,3,59,32,0
503,3744,5616,0,42,0,5,6,31,0,0,5,6,31,0
504,3744,5616,0,5,2,0,0,3,0,2,0,0,3,0
505,3744,5616,2,50,1,9,0,42,0,1,8,0,41,0
506,3328,4992,0,30,0,0,9,21,0,0,0,9,21,0
508,3328,4992,0,5,0,0,4,1,0,0,0,4,1,0
509,3744,5616,3,225,23,11,87,63,44,23,10,86,63,43
510,3744,5616,3,6,2,1,0,0,0,5,1,0,0,0
511,3744,5616,0,50,3,4,16,27,0,3,4,16,27,0
512,3744,5616,0,5,1,4,0,0,0,1,4,0,0,0
513,3744,5616,0,24,7,0,8,2,7,7,0,8,2,7
514,3744,5616,0,378,6,3,260,109,0,6,3,260,109,0
515,3744,5616,0,11,0,8,2,1,0,0,8,2,1,0
516,3744,5616,8,183,17,6,93,14,61,13,3,92,14,61
517,3328,4992,0,7,2,1,4,0,0,2,1,4,0,0
518,3328,4992,1,100,4,7,59,31,0,4,7,59,30,0
519,3328,4992,0,83,6,3,44,17,13,6,3,44,17,13
520,3328,4992,0,29,6,2,21,0,0,6,2,21,0,0
521,3744,5616,0,13,1,0,7,5,0,1,0,7,5,0
522,3744,5616,0,123,5,3,67,43,5,5,3,67,43,5
523,3744,5616,1,114,16,4,64,13,16,17,4,64,13,16
524,3744,5616,3,8,5,4,1,1,0,4,2,1,1,0
525,3744,5616,0,47,3,0,9,35,0,3,0,9,35,0
526,3744,5616,1,67,4,10,20,19,13,5,10,20,19,13
527,3328,4992,0,38,2,0,29,6,1,2,0,29,6,1
528,3328,4992,0,66,8,0,30,4,24,8,0,30,4,24
529,3328,4992,21,34,5,3,16,31,0,5,2,15,12,0
532,3328,4992,0,2,2,0,0,0,0,2,0,0,0,0
533,3328,4992,0,6,2,2,0,2,0,2,2,0,2,0
534,3328,4992,0,1,0,1,0,0,0,0,1,0,0,0
535,3328,4992,0,131,7,0,81,36,7,7,0,81,36,7
536,3328,4992,0,116,15,1,52,4,44,15,1,52,4,44
537,3744,5616,0,15,1,4,2,8,0,1,4,2,8,0
538,3744,5616,3,300,10,3,162,9,115,12,2,162,9,115
539,3744,5616,1,6,2,5,0,0,0,1,5,0,0,0
540,3744,5616,0,95,22,21,40,11,1,22,21,40,11,1
541,3744,5616,0,19,4,1,12,2,0,4,1,12,2,0
542,3328,4992,0,5,3,2,0,0,0,3,2,0,0,0
543,3744,5616,1,11,4,2,0,6,0,3,2,0,6,0
544,3328,4992,1,20,4,5,8,2,0,4,6,8,2,0
545,3744,5616,0,74,3,14,36,21,0,3,14,36,21,0
546,3744,5616,0,67,3,1,16,47,0,3,1,16,47,0
547,3328,4992,0,56,2,2,18,34,0,2,2,18,34,0
548,3328,4992,0,12,3,0,5,4,0,3,0,5,4,0
549,3328,4992,0,36,1,4,31,0,0,1,4,31,0,0
550,3744,5616,0,27,2,0,11,14,0,2,0,11,14,0
551,3744,5616,0,27,1,0,13,13,0,1,0,13,13,0
552,3328,4992,1,103,2,3,52,45,0,2,3,52,46,0
553,3744,5616,1,12,6,3,3,1,0,5,3,3,1,0
554,3744,5616,2,20,2,9,9,1,1,1,8,9,1,1
555,3744,5616,2,54,5,3,20,28,0,3,3,20,28,0
556,3744,5616,0,297,13,17,133,32,102,13,17,133,32,102
557,3744,5616,0,6,0,3,0,3,0,0,3,0,3,0
558,3328,4992,0,164,14,3,87,21,39,14,3,87,21,39
559,3744,5616,0,74,2,2,29,41,0,2,2,29,41,0
560,3744,5616,1,40,1,2,0,38,0,1,2,0,37,0
561,3328,4992,0,78,3,0,33,42,0,3,0,33,42,0
562,3328,4992,0,106,3,4,31,68,0,3,4,31,68,0
563,3328,4992,0,173,6,5,68,6,88,6,5,68,6,88
564,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
565,3328,4992,0,14,0,0,6,8,0,0,0,6,8,0
566,3744,5616,0,4,2,2,0,0,0,2,2,0,0,0
567,3328,4992,0,105,5,3,66,30,1,5,3,66,30,1
568,3744,5616,2,32,4,0,9,19,2,4,0,9,17,2
569,3744,5616,0,270,19,9,113,24,105,19,9,113,24,105
570,3744,5616,0,5,2,3,0,0,0,2,3,0,0,0
571,3328,4992,3,43,3,0,30,13,0,0,0,30,13,0
572,3328,4992,0,20,0,0,11,9,0,0,0,11,9,0
573,3744,5616,0,7,2,5,0,0,0,2,5,0,0,0
574,3744,5616,3,43,4,4,22,9,7,4,2,21,9,7
575,3328,4992,0,25,2,1,19,3,0,2,1,19,3,0
576,3328,4992,0,63,3,12,24,24,0,3,12,24,24,0
577,3328,4992,1,217,3,1,117,97,0,3,1,116,97,0
578,3744,5616,2,49,6,3,26,0,16,6,3,25,0,15
579,3328,4992,0,57,0,0,24,33,0,0,0,24,33,0
580,3328,4992,0,8,3,5,0,0,0,3,5,0,0,0
581,3328,4992,0,192,21,10,130,15,16,21,10,130,15,16
582,3744,5616,0,5,1,4,0,0,0,1,4,0,0,0
583,3328,4992,0,8,2,2,3,1,0,2,2,3,1,0
584,3744,5616,1,13,7,0,4,0,3,7,0,4,0,2
585,3744,5616,8,23,2,4,5,20,0,2,1,4,16,0
586,3744,5616,0,10,3,0,1,5,1,3,0,1,5,1
587,3744,5616,9,587,31,14,200,77,274,31,13,200,75,268
588,3328,4992,0,60,5,31,13,11,0,5,31,13,11,0
589,3328,4992,0,53,1,1,21,30,0,1,1,21,30,0
590,3744,5616,0,726,47,16,322,41,300,47,16,322,41,300
591,3744,5616,0,329,22,14,134,116,43,22,14,134,116,43
592,3328,4992,0,2,1,1,0,0,0,1,1,0,0,0
593,3328,4992,53,93,1,2,32,5,0,1,2,32,58,0
594,3328,4992,0,2,0,1,1,0,0,0,1,1,0,0
595,3328,4992,3,44,2,0,30,15,0,2,0,28,14,0
596,3744,5616,0,86,5,4,30,47,0,5,4,30,47,0
597,3328,4992,0,1,0,0,1,0,0,0,0,1,0,0
598,3328,4992,6,50,4,5,32,15,0,2,1,32,15,0
599,3744,5616,0,17,3,8,1,5,0,3,8,1,5,0
600,3744,5616,0,47,0,1,19,27,0,0,1,19,27,0
601,3744,5616,0,143,9,4,38,92,0,9,4,38,92,0
602,3744,5616,0,20,3,17,0,0,0,3,17,0,0,0
603,3328,4992,0,6,2,3,1,0,0,2,3,1,0,0
604,3744,5616,2,326,12,5,105,204,2,12,4,105,203,2
606,3744,5616,1,530,16,5,288,11,211,15,5,288,11,211
608,3744,5616,0,38,2,0,12,24,0,2,0,12,24,0
609,3744,5616,0,6,1,5,0,0,0,1,5,0,0,0
610,3328,4992,1,38,5,5,17,12,0,5,5,17,11,0
611,3744,5616,0,48,2,1,32,13,0,2,1,32,13,0
612,3328,4992,0,4,3,0,1,0,0,3,0,1,0,0
613,3328,4992,0,28,4,6,15,2,1,4,6,15,2,1
615,3328,4992,0,60,2,1,35,22,0,2,1,35,22,0
616,3328,4992,0,130,8,18,79,25,0,8,18,79,25,0
617,3744,5616,0,199,14,12,88,47,38,14,12,88,47,38
618,3744,5616,0,151,5,23,98,25,0,5,23,98,25,0
619,3328,4992,1,52,6,2,27,6,12,6,2,27,5,12
620,3328,4992,0,53,5,6,20,1,21,5,6,20,1,21
622,3328,4992,0,79,6,2,32,1,38,6,2,32,1,38
623,3328,4992,0,6,6,0,0,0,0,6,0,0,0,0
624,3744,5616,0,72,7,6,38,1,20,7,6,38,1,20
625,3328,4992,0,322,28,5,149,11,129,28,5,149,11,129
626,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
627,3328,4992,0,2,1,1,0,0,0,1,1,0,0,0
628,3328,4992,0,34,11,4,18,1,0,11,4,18,1,0
629,3744,5616,6,152,13,12,75,1,57,10,9,75,1,57
630,3328,4992,0,2,2,0,0,0,0,2,0,0,0,0
631,3328,4992,0,4,2,2,0,0,0,2,2,0,0,0
632,3744,5616,1,14,5,3,1,6,0,4,3,1,6,0
633,3328,4992,2,83,5,1,39,15,25,5,1,39,15,23
634,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
635,3328,4992,0,31,3,1,20,7,0,3,1,20,7,0
636,3328,4992,0,40,2,2,34,2,0,2,2,34,2,0
637,3744,5616,0,166,6,18,85,17,40,6,18,85,17,40
639,3744,5616,1,129,4,12,31,81,2,4,12,31,80,2
640,3328,4992,0,52,8,3,33,8,0,8,3,33,8,0
641,3328,4992,0,175,1,2,70,102,0,1,2,70,102,0
642,3744,5616,0,10,1,9,0,0,0,1,9,0,0,0
643,3744,5616,9,27,1,6,0,29,0,1,5,0,21,0
645,3744,5616,2,206,10,7,73,51,67,10,7,73,50,66
646,3328,4992,0,16,1,1,11,3,0,1,1,11,3,0
647,3328,4992,0,4,1,2,0,1,0,1,2,0,1,0
648,3328,4992,0,102,5,0,56,0,41,5,0,56,0,41
649,3744,5616,0,70,2,0,19,49,0,2,0,19,49,0
650,3744,5616,0,40,2,25,0,13,0,2,25,0,13,0
651,3744,5616,0,45,1,7,11,26,0,1,7,11,26,0
652,3744,5616,0,3,0,3,0,0,0,0,3,0,0,0
653,3328,4992,0,23,2,3,0,18,0,2,3,0,18,0
654,3744,5616,0,12,1,3,0,8,0,1,3,0,8,0
655,3328,4992,1,47,5,3,22,1,17,5,3,21,1,17
656,3744,5616,0,40,4,6,14,7,9,4,6,14,7,9
657,3328,4992,0,1,0,1,0,0,0,0,1,0,0,0
658,3328,4992,2,11,5,8,0,0,0,3,8,0,0,0
659,3328,4992,0,48,1,1,21,25,0,1,1,21,25,0
660,3328,4992,0,6,1,0,1,4,0,1,0,1,4,0
661,3328,4992,0,71,2,3,17,49,0,2,3,17,49,0
662,3744,5616,2,279,10,6,245,20,0,8,6,245,20,0
663,3328,4992,0,25,1,4,9,11,0,1,4,9,11,0
664,3744,5616,0,300,18,15,129,67,71,18,15,129,67,71
665,3744,5616,0,11,0,9,0,2,0,0,9,0,2,0
666,3744,5616,0,22,0,4,4,14,0,0,4,4,14,0
667,3328,4992,0,7,4,1,1,0,1,4,1,1,0,1
668,3744,5616,1,38,0,3,4,32,0,0,3,4,31,0
669,3328,4992,0,25,5,4,16,0,0,5,4,16,0,0
670,3328,4992,0,44,0,4,21,19,0,0,4,21,19,0
671,3744,5616,1,70,1,1,11,58,0,1,1,11,57,0
672,3744,5616,0,40,5,25,0,10,0,5,25,0,10,0
673,3328,4992,0,17,1,0,0,16,0,1,0,0,16,0
674,3744,5616,0,276,20,3,112,23,118,20,3,112,23,118
675,3328,4992,2,13,4,1,5,0,5,4,1,5,0,3
676,3744,5616,1,96,16,10,43,6,22,16,10,43,6,21
677,3744,5616,0,25,7,6,6,4,2,7,6,6,4,2
678,3328,4992,0,74,3,7,19,45,0,3,7,19,45,0
679,3744,5616,2,209,15,3,94,16,83,15,1,94,16,83
680,3744,5616,0,352,17,5,160,8,162,17,5,160,8,162
681,3328,4992,0,36,2,1,24,9,0,2,1,24,9,0
682,3328,4992,0,18,1,2,6,9,0,1,2,6,9,0
683,3744,5616,0,8,1,2,3,2,0,1,2,3,2,0
684,3744,5616,0,208,17,4,88,45,54,17,4,88,45,54
685,3744,5616,0,18,6,12,0,0,0,6,12,0,0,0
686,3744,5616,2,96,3,36,0,59,0,3,34,0,59,0
688,3744,5616,0,21,0,8,0,13,0,0,8,0,13,0
689,3328,4992,0,2,1,0,1,0,0,1,0,1,0,0
690,3744,5616,0,79,5,5,34,7,28,5,5,34,7,28
691,3328,4992,0,2,1,1,0,0,0,1,1,0,0,0
692,3328,4992,0,60,0,0,15,45,0,0,0,15,45,0
693,3744,5616,0,22,3,10,7,2,0,3,10,7,2,0
694,3328,4992,0,10,3,1,5,1,0,3,1,5,1,0
695,3328,4992,0,5,1,0,2,0,2,1,0,2,0,2
696,3744,5616,0,8,2,4,0,2,0,2,4,0,2,0
697,3328,4992,0,4,1,1,2,0,0,1,1,2,0,0
698,3744,5616,1,15,1,1,0,14,0,1,0,0,14,0
699,3328,4992,2,86,20,13,39,2,14,18,13,39,2,14
700,3328,4992,3,124,9,4,82,9,23,9,4,81,7,23
701,3328,4992,0,290,12,10,91,19,158,12,10,91,19,158
702,3744,5616,0,57,8,4,25,10,10,8,4,25,10,10
703,3328,4992,1,96,7,0,38,52,0,7,0,38,51,0
704,3328,4992,0,330,26,6,168,25,105,26,6,168,25,105
705,3744,5616,0,62,3,0,19,38,2,3,0,19,38,2
706,3744,5616,1,63,2,5,39,18,0,2,4,39,18,0
707,3744,5616,1,33,4,22,1,7,0,4,21,1,7,0
708,3744,5616,0,13,3,7,0,3,0,3,7,0,3,0
709,3744,5616,0,72,1,2,19,50,0,1,2,19,50,0
710,3744,5616,1,9,7,3,0,0,0,6,3,0,0,0
711,3744,5616,0,19,4,7,5,3,0,4,7,5,3,0
713,3328,4992,0,20,2,3,10,5,0,2,3,10,5,0
714,3744,5616,0,128,13,2,85,7,21,13,2,85,7,21
715,3328,4992,0,109,9,1,57,7,35,9,1,57,7,35
716,3328,4992,0,93,5,5,53,30,0,5,5,53,30,0
717,3328,4992,0,24,1,4,16,2,1,1,4,16,2,1
718,3744,5616,0,98,13,3,39,1,42,13,3,39,1,42
719,3328,4992,0,29,1,3,15,10,0,1,3,15,10,0
720,3744,5616,0,91,8,1,51,7,24,8,1,51,7,24
722,3328,4992,0,305,19,6,164,7,109,19,6,164,7,109
723,3328,4992,0,99,8,0,41,5,45,8,0,41,5,45
724,3744,5616,3,134,6,40,4,87,0,6,39,4,85,0
725,3744,5616,0,176,6,2,68,100,0,6,2,68,100,0
726,3328,4992,0,29,3,4,3,19,0,3,4,3,19,0
727,3744,5616,1,207,13,6,103,18,66,14,6,103,18,66
728,3744,5616,0,209,13,4,104,11,77,13,4,104,11,77
729,3744,5616,1,36,1,4,3,29,0,1,4,3,28,0
730,3744,5616,0,4,1,3,0,0,0,1,3,0,0,0
731,3744,5616,0,24,4,0,12,0,8,4,0,12,0,8
732,3744,5616,2,10,4,8,0,0,0,4,6,0,0,0
733,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
734,3328,4992,0,2,1,1,0,0,0,1,1,0,0,0
735,3744,5616,0,12,0,3,9,0,0,0,3,9,0,0
736,3744,5616,0,47,9,36,0,2,0,9,36,0,2,0
737,3744,5616,0,5,2,3,0,0,0,2,3,0,0,0
738,3744,5616,0,10,1,1,0,8,0,1,1,0,8,0
739,3744,5616,3,9,4,6,1,0,1,4,3,1,0,1
740,3328,4992,0,43,9,4,20,8,2,9,4,20,8,2
741,3328,4992,2,481,32,5,228,38,176,34,5,228,38,176
742,3744,5616,1,51,6,1,23,6,14,7,1,23,6,14
743,3328,4992,0,234,12,5,113,13,91,12,5,113,13,91
744,3744,5616,2,556,6,3,51,498,0,6,3,51,496,0
745,3328,4992,1,524,32,10,270,30,183,32,10,269,30,183
746,3744,5616,0,31,1,0,11,19,0,1,0,11,19,0
747,3744,5616,0,516,17,6,251,17,225,17,6,251,17,225
748,3328,4992,1,5,0,6,0,0,0,0,5,0,0,0
749,3328,4992,0,40,6,0,24,8,2,6,0,24,8,2
750,3328,4992,4,18,5,1,9,7,0,3,1,9,5,0
751,3744,5616,5,4,0,7,0,2,0,0,4,0,0,0
752,3328,4992,0,41,6,1,16,6,12,6,1,16,6,12
753,3328,4992,0,81,8,1,35,19,18,8,1,35,19,18
754,3328,4992,2,50,2,0,19,31,0,2,0,19,29,0
755,3744,5616,0,212,5,17,51,139,0,5,17,51,139,0
756,3328,4992,0,54,0,0,20,34,0,0,0,20,34,0
757,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
758,3744,5616,0,100,3,0,12,85,0,3,0,12,85,0
759,3744,5616,3,296,19,5,143,13,119,19,2,143,13,119
760,3744,5616,0,25,3,15,0,7,0,3,15,0,7,0
761,3328,4992,3,139,9,19,53,61,0,9,19,53,58,0
762,3328,4992,0,6,2,2,2,0,0,2,2,2,0,0
763,3744,5616,2,73,0,1,0,74,0,0,1,0,72,0
764,3328,4992,1,42,4,4,26,2,7,4,4,26,2,6
765,3328,4992,0,40,0,1,20,19,0,0,1,20,19,0
766,3328,4992,0,3,1,1,1,0,0,1,1,1,0,0
768,3328,4992,0,3,2,1,0,0,0,2,1,0,0,0
769,3744,5616,0,318,12,0,161,15,130,12,0,161,15,130
770,3328,4992,0,34,1,4,24,5,0,1,4,24,5,0
771,3328,4992,0,149,7,1,113,28,0,7,1,113,28,0
772,3328,4992,0,2,0,1,0,1,0,0,1,0,1,0
773,3744,5616,0,392,28,8,213,5,138,28,8,213,5,138
774,3744,5616,0,285,20,0,139,12,114,20,0,139,12,114
775,3328,4992,0,111,3,4,51,4,49,3,4,51,4,49
776,3744,5616,5,66,3,2,25,2,29,8,2,25,2,29
777,3328,4992,0,5,2,3,0,0,0,2,3,0,0,0
778,3744,5616,0,6,2,3,0,1,0,2,3,0,1,0
780,3744,5616,0,6,0,0,3,3,0,0,0,3,3,0
782,3744,5616,0,120,0,3,95,22,0,0,3,95,22,0
783,3744,5616,0,141,17,8,88,18,10,17,8,88,18,10
784,3328,4992,0,438,11,5,211,211,0,11,5,211,211,0
785,3328,4992,0,589,41,8,288,22,230,41,8,288,22,230
786,3744,5616,0,3,1,2,0,0,0,1,2,0,0,0
787,3744,5616,0,17,3,4,0,10,0,3,4,0,10,0
788,3744,5616,2,38,4,19,12,5,0,3,18,12,5,0
789,3744,5616,0,47,3,2,23,1,18,3,2,23,1,18
790,3328,4992,1,89,7,2,41,4,36,7,2,40,4,36
791,3744,5616,0,74,4,4,37,3,26,4,4,37,3,26
792,3328,4992,0,102,10,0,49,1,42,10,0,49,1,42
793,3328,4992,0,24,11,5,8,0,0,11,5,8,0,0
795,3328,4992,2,10,3,0,8,0,1,3,0,7,0,0
796,3744,5616,0,10,1,0,1,8,0,1,0,1,8,0
797,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
798,3744,5616,1,3,2,1,0,1,0,2,1,0,0,0
799,3744,5616,0,106,4,12,13,74,3,4,12,13,74,3
801,3744,5616,0,155,9,3,56,30,57,9,3,56,30,57
802,3744,5616,0,131,11,6,48,54,12,11,6,48,54,12
803,3744,5616,2,480,21,10,258,40,151,20,10,259,40,151
804,3328,4992,1,114,6,1,56,52,0,6,1,56,51,0
805,3328,4992,1,118,12,1,60,14,32,12,1,60,14,31
806,3744,5616,2,43,5,12,14,4,10,5,11,14,3,10
807,3744,5616,0,127,7,0,57,7,56,7,0,57,7,56
808,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
809,3328,4992,0,95,3,0,48,43,1,3,0,48,43,1
810,3328,4992,0,135,15,4,68,28,20,15,4,68,28,20
812,3328,4992,0,22,3,0,16,3,0,3,0,16,3,0
813,3328,4992,1,30,1,3,6,21,0,1,3,6,20,0
814,3744,5616,1,12,1,6,0,6,0,1,6,0,5,0
815,3744,5616,0,14,5,3,2,4,0,5,3,2,4,0
816,3328,4992,25,46,3,0,35,33,0,2,0,34,10,0
817,3744,5616,0,74,4,5,26,39,0,4,5,26,39,0
818,3744,5616,0,12,1,0,4,7,0,1,0,4,7,0
819,3328,4992,0,2,2,0,0,0,0,2,0,0,0,0
820,3328,4992,0,96,4,3,44,4,41,4,3,44,4,41
821,3328,4992,0,6,1,0,3,2,0,1,0,3,2,0
822,3744,5616,1,566,30,10,305,12,210,30,10,305,11,210
823,3744,5616,3,50,2,10,29,12,0,2,7,29,12,0
824,3744,5616,0,6,2,4,0,0,0,2,4,0,0,0
825,3328,4992,0,5,3,1,0,1,0,3,1,0,1,0
826,3328,4992,0,5,0,2,3,0,0,0,2,3,0,0
827,3328,4992,4,15,8,7,4,0,0,4,7,4,0,0
828,3744,5616,0,112,15,9,49,4,35,15,9,49,4,35
829,3744,5616,0,39,4,3,15,9,8,4,3,15,9,8
830,3744,5616,0,48,2,10,4,32,0,2,10,4,32,0
831,3328,4992,0,12,3,2,6,1,0,3,2,6,1,0
832,3744,5616,0,22,0,4,0,18,0,0,4,0,18,0
833,3744,5616,0,509,22,3,226,43,215,22,3,226,43,215
834,3744,5616,0,8,0,7,0,1,0,0,7,0,1,0
835,3744,5616,0,13,4,6,1,2,0,4,6,1,2,0
836,3744,5616,0,9,2,3,3,1,0,2,3,3,1,0
837,3328,4992,7,1,1,0,3,4,0,1,0,0,0,0
838,3744,5616,0,46,11,28,2,5,0,11,28,2,5,0
841,3744,5616,0,35,3,6,0,26,0,3,6,0,26,0
842,3328,4992,0,16,2,4,6,4,0,2,4,6,4,0
843,3328,4992,0,13,3,0,6,4,0,3,0,6,4,0
844,3328,4992,0,25,9,7,5,4,0,9,7,5,4,0
845,3328,4992,1,35,8,1,9,16,0,8,1,9,17,0
846,3328,4992,0,18,1,1,13,3,0,1,1,13,3,0
847,3744,5616,0,454,27,3,227,46,151,27,3,227,46,151
848,3744,5616,0,30,1,1,5,23,0,1,1,5,23,0
849,3744,5616,0,46,6,1,24,5,10,6,1,24,5,10
850,3328,4992,0,32,6,13,13,0,0,6,13,13,0,0
851,3328,4992,0,21,1,2,10,8,0,1,2,10,8,0
852,3744,5616,0,49,6,27,3,10,3,6,27,3,10,3
853,3744,5616,0,4,0,4,0,0,0,0,4,0,0,0
854,3744,5616,0,4,1,2,0,1,0,1,2,0,1,0
855,3744,5616,0,107,3,2,24,78,0,3,2,24,78,0
856,3744,5616,0,31,8,4,14,5,0,8,4,14,5,0
857,3744,5616,14,0,1,10,0,3,0,0,0,0,0,0
858,3744,5616,2,103,6,12,20,67,0,4,12,20,67,0
859,3744,5616,0,50,3,6,8,33,0,3,6,8,33,0
860,3328,4992,0,43,3,2,20,11,7,3,2,20,11,7
861,3328,4992,0,120,4,6,110,0,0,4,6,110,0,0
862,3744,5616,0,124,4,2,18,99,1,4,2,18,99,1
863,3328,4992,0,2,1,1,0,0,0,1,1,0,0,0
864,3744,5616,0,415,14,2,207,20,172,14,2,207,20,172
865,3328,4992,2,1,1,0,0,1,1,0,0,0,1,0
866,3328,4992,0,20,2,0,4,14,0,2,0,4,14,0
867,3328,4992,0,18,0,2,5,11,0,0,2,5,11,0
868,3328,4992,0,172,5,11,62,94,0,5,11,62,94,0
870,3328,4992,0,9,2,0,7,0,0,2,0,7,0,0
871,3328,4992,7,441,23,10,196,43,176,23,10,193,43,172
872,3744,5616,0,186,7,11,132,36,0,7,11,132,36,0
873,3328,4992,1,107,1,0,30,77,0,1,0,30,76,0
874,3744,5616,0,307,18,7,118,47,117,18,7,118,47,117
875,3328,4992,0,86,4,8,60,14,0,4,8,60,14,0
876,3328,4992,0,1,1,0,0,0,0,1,0,0,0,0
877,3328,4992,0,14,1,3,7,3,0,1,3,7,3,0
878,3744,5616,1,53,1,1,16,36,0,1,0,16,36,0
879,3328,4992,0,103,0,0,28,75,0,0,0,28,75,0
880,3744,5616,0,34,2,0,9,23,0,2,0,9,23,0
881,3328,4992,1,403,43,16,169,59,117,43,16,169,58,117
883,3744,5616,0,4,1,3,0,0,0,1,3,0,0,0
884,3744,5616,0,82,3,0,59,13,7,3,0,59,13,7
885,3328,4992,0,36,3,0,21,12,0,3,0,21,12,0
886,3744,5616,0,47,2,0,30,0,15,2,0,30,0,15
887,3328,4992,0,3,1,2,0,0,0,1,2,0,0,0
888,3328,4992,0,10,1,0,5,4,0,1,0,5,4,0
889,3744,5616,3,60,11,1,32,4,15,10,0,32,4,14
890,3328,4992,0,16,3,0,10,3,0,3,0,10,3,0
891,3744,5616,0,61,7,0,27,5,22,7,0,27,5,22
892,3328,4992,0,293,16,6,144,3,124,16,6,144,3,124
893,3744,5616,0,77,1,3,30,35,8,1,3,30,35,8
894,3328,4992,0,84,2,2,41,39,0,2,2,41,39,0
895,3328,4992,0,79,3,2,52,15,7,3,2,52,15,7
896,3328,4992,0,4,4,0,0,0,0,4,0,0,0,0
897,3328,4992,0,36,0,4,21,11,0,0,4,21,11,0
898,3328,4992,0,144,10,4,79,6,45,10,4,79,6,45
899,3744,5616,7,10,0,3,0,2,0,2,2,3,3,0
900,3744,5616,1,1283,42,5,682,26,529,42,5,681,26,529
902,3328,4992,0,2,0,2,0,0,0,0,2,0,0,0
904,3328,4992,0,2,1,1,0,0,0,1,1,0,0,0
906,3744,5616,3,32,4,2,20,7,2,4,1,18,7,2
907,3744,5616,0,93,3,3,32,55,0,3,3,32,55,0
908,3328,4992,0,6,4,2,0,0,0,4,2,0,0,0
910,3744,5616,4,20,3,16,0,5,0,3,16,0,1,0
911,3744,5616,0,208,4,5,149,50,0,4,5,149,50,0
912,3328,4992,2,496,30,2,244,13,205,30,2,246,13,205
914,3744,5616,1,155,3,23,15,115,0,3,23,15,114,0
915,3328,4992,0,7,0,0,2,5,0,0,0,2,5,0
916,3328,4992,0,29,1,3,12,13,0,1,3,12,13,0
917,3744,5616,2,158,10,8,32,110,0,10,8,31,109,0
918,3328,4992,7,37,4,2,25,7,0,4,2,22,6,3
919,3744,5616,0,116,5,3,41,64,3,5,3,41,64,3
